,1. open,2. high,3. low,4. close,5. volume,Symbol
2023-09-19 19:55:00,178.9400,179.0000,178.9000,178.9950,5075,AAPL
2023-09-19 19:50:00,178.9800,179.0000,178.8800,178.8800,2036,AAPL
2023-09-19 19:45:00,179.0700,179.0700,178.9200,179.0000,7594,AAPL
2023-09-19 19:40:00,179.0600,179.0700,179.0100,179.0450,5623,AAPL
2023-09-19 19:35:00,179.0700,179.0700,179.0600,179.0600,5616,AAPL
2023-09-19 19:30:00,179.1100,179.1400,179.0600,179.0650,11647,AAPL
2023-09-19 19:25:00,179.1310,179.1800,179.1000,179.1200,4212,AAPL
2023-09-19 19:20:00,179.1100,179.1300,179.1000,179.1300,1355,AAPL
2023-09-19 19:15:00,179.1200,179.1300,179.1000,179.1200,710,AAPL
2023-09-19 19:10:00,179.1500,179.1600,179.0800,179.1100,270,AAPL
2023-09-19 19:05:00,179.1350,179.1700,179.0700,179.1100,1916,AAPL
2023-09-19 19:00:00,179.1700,179.1700,179.1000,179.1000,2055,AAPL
2023-09-19 18:55:00,179.1100,179.1700,179.1000,179.1600,1588,AAPL
2023-09-19 18:50:00,179.1100,179.1100,179.1000,179.1000,215,AAPL
2023-09-19 18:45:00,179.1600,179.1600,179.1000,179.1000,223,AAPL
2023-09-19 18:40:00,179.1100,179.1200,179.1000,179.1200,1628,AAPL
2023-09-19 18:35:00,179.0950,179.1200,179.0700,179.1100,1034,AAPL
2023-09-19 18:30:00,179.0900,179.1600,179.0700,179.1000,845,AAPL
2023-09-19 18:25:00,179.1500,179.1700,179.1100,179.1300,1788,AAPL
2023-09-19 18:20:00,179.1700,179.2000,179.1100,179.1700,792,AAPL
2023-09-19 18:15:00,179.1900,179.2000,179.1100,179.1800,871,AAPL
2023-09-19 18:10:00,179.1600,179.1900,179.0900,179.1700,813,AAPL
2023-09-19 18:05:00,179.1400,179.1900,179.1200,179.1200,1171,AAPL
2023-09-19 18:00:00,179.1400,179.1600,179.1200,179.1600,1731,AAPL
2023-09-19 17:55:00,179.1600,179.1700,179.1400,179.1400,732,AAPL
2023-09-19 17:50:00,179.1750,179.1900,179.1400,179.1600,2602,AAPL
2023-09-19 17:45:00,179.1550,179.1900,179.1400,179.1600,4231,AAPL
2023-09-19 17:40:00,179.1800,179.1800,179.1400,179.1550,1792,AAPL
2023-09-19 17:35:00,179.1800,179.1800,179.1400,179.1650,381,AAPL
2023-09-19 17:30:00,179.0800,179.1800,179.0800,179.1400,631,AAPL
2023-09-19 17:25:00,179.1500,179.1800,179.0700,179.1300,5138,AAPL
2023-09-19 17:20:00,179.1680,179.1700,179.1100,179.1500,1967,AAPL
2023-09-19 17:15:00,179.1600,184.1270,179.1300,179.1400,5284,AAPL
2023-09-19 17:10:00,179.1600,179.1700,167.0030,179.1500,1089,AAPL
2023-09-19 17:05:00,179.1600,179.1700,179.1400,179.1700,1616,AAPL
2023-09-19 17:00:00,179.1400,179.1700,179.1300,179.1400,2346,AAPL
2023-09-19 16:55:00,179.1500,179.1700,179.1400,179.1550,2194,AAPL
2023-09-19 16:50:00,179.1700,179.1700,179.0700,179.1500,1204390,AAPL
2023-09-19 16:45:00,179.1600,179.1800,179.1500,179.1600,1922,AAPL
2023-09-19 16:40:00,179.1800,179.1800,179.1500,179.1650,2425,AAPL
2023-09-19 16:35:00,179.1500,179.2100,179.0700,179.1800,32607,AAPL
2023-09-19 16:30:00,179.0900,179.2000,179.0700,179.1750,7092,AAPL
2023-09-19 16:25:00,179.1500,179.1700,179.0700,179.1000,11142,AAPL
2023-09-19 16:20:00,179.1600,179.1700,179.1000,179.1400,5989,AAPL
2023-09-19 16:15:00,179.2900,179.3000,179.0700,179.1700,25899,AAPL
2023-09-19 16:10:00,179.1600,179.3500,179.0700,179.3000,18355,AAPL
2023-09-19 16:05:00,179.1000,179.2000,179.0300,179.1700,112694,AAPL
2023-09-19 16:00:00,179.1000,179.1600,179.0300,179.0700,11105594,AAPL
2023-09-19 15:55:00,179.0800,179.1700,179.0200,179.1000,1512394,AAPL
2023-09-19 15:50:00,179.2500,179.3200,179.0600,179.0700,944481,AAPL
2023-09-19 15:45:00,179.3100,179.4400,179.2200,179.2600,671964,AAPL
2023-09-19 15:40:00,179.0910,179.3190,179.0400,179.3120,647631,AAPL
2023-09-19 15:35:00,179.0250,179.1300,178.9850,179.0900,482511,AAPL
2023-09-19 15:30:00,179.1000,179.1000,178.9300,179.0300,500934,AAPL
2023-09-19 15:25:00,178.9700,179.1480,178.9600,179.1050,487810,AAPL
2023-09-19 15:20:00,178.9050,178.9950,178.8000,178.9780,400486,AAPL
2023-09-19 15:15:00,178.8600,178.9500,178.7400,178.9000,409382,AAPL
2023-09-19 15:10:00,178.9150,178.9470,178.7600,178.8600,332955,AAPL
2023-09-19 15:05:00,178.9300,179.0080,178.9100,178.9200,286932,AAPL
2023-09-19 15:00:00,178.9000,178.9800,178.8050,178.9250,494184,AAPL
2023-09-19 14:55:00,179.1550,179.1800,178.9000,178.9000,512076,AAPL
2023-09-19 14:50:00,179.2600,179.3110,179.0700,179.1600,487695,AAPL
2023-09-19 14:45:00,179.4100,179.4600,177.4600,179.2590,394965,AAPL
2023-09-19 14:40:00,179.4600,179.5450,179.4000,179.4300,324261,AAPL
