,1. open,2. high,3. low,4. close,5. volume,Symbol
2023-09-19 19:55:00,137.4650,137.5000,137.4300,137.4400,5051,AMZN
2023-09-19 19:50:00,137.4400,137.4500,137.4000,137.4500,3689,AMZN
2023-09-19 19:45:00,137.5000,137.5200,137.4200,137.4500,2135,AMZN
2023-09-19 19:40:00,137.4900,137.5200,137.4200,137.5200,5174,AMZN
2023-09-19 19:35:00,137.5000,137.5000,137.4000,137.4200,2435,AMZN
2023-09-19 19:30:00,137.5300,137.5800,137.4450,137.4900,2719,AMZN
2023-09-19 19:25:00,137.5200,137.5800,137.5000,137.5500,1692,AMZN
2023-09-19 19:20:00,137.5500,137.5800,137.5210,137.5500,2592,AMZN
2023-09-19 19:15:00,137.5350,137.5800,137.5200,137.5200,2484,AMZN
2023-09-19 19:10:00,137.5600,137.5800,137.5350,137.5400,920,AMZN
2023-09-19 19:05:00,137.5400,137.5800,137.5200,137.5550,1144,AMZN
2023-09-19 19:00:00,137.5700,137.5900,137.5100,137.5700,1024,AMZN
2023-09-19 18:55:00,137.5400,137.5900,137.5200,137.5650,1614,AMZN
2023-09-19 18:50:00,137.5300,137.5500,137.5100,137.5400,584,AMZN
2023-09-19 18:45:00,137.5100,137.5900,137.5100,137.5100,871,AMZN
2023-09-19 18:40:00,137.5350,137.5600,137.5200,137.5500,1838,AMZN
2023-09-19 18:35:00,137.5150,137.5600,137.5000,137.5300,1834,AMZN
2023-09-19 18:30:00,137.5600,137.5600,137.5000,137.5150,1320,AMZN
2023-09-19 18:25:00,137.5900,137.5900,137.5500,137.5550,1141,AMZN
2023-09-19 18:20:00,137.5700,137.5900,137.5600,137.5600,1486,AMZN
2023-09-19 18:15:00,137.5800,137.5900,137.5600,137.5900,2402,AMZN
2023-09-19 18:10:00,137.6000,137.6000,137.5600,137.5750,760,AMZN
2023-09-19 18:05:00,137.5600,137.6000,137.5300,137.5800,1540,AMZN
2023-09-19 18:00:00,137.5000,137.5700,137.5000,137.5600,2398,AMZN
2023-09-19 17:55:00,137.5250,137.5800,137.5000,137.5700,429,AMZN
2023-09-19 17:50:00,137.5600,137.5600,137.5000,137.5100,850,AMZN
2023-09-19 17:45:00,137.5500,137.5600,137.5000,137.5000,1278,AMZN
2023-09-19 17:40:00,137.5300,137.5500,137.5000,137.5500,579,AMZN
2023-09-19 17:35:00,137.5500,137.5500,137.5000,137.5250,617,AMZN
2023-09-19 17:30:00,137.5150,137.5500,137.5000,137.5500,329,AMZN
2023-09-19 17:25:00,137.4900,137.5500,137.4900,137.5150,2107,AMZN
2023-09-19 17:20:00,128.5960,169.9030,128.5960,137.5150,3714,AMZN
2023-09-19 17:15:00,137.5100,163.5850,135.0630,137.5200,8363,AMZN
2023-09-19 17:10:00,137.4850,146.5780,137.4700,137.5300,5112,AMZN
2023-09-19 17:05:00,137.4850,137.5000,137.4700,137.4850,841,AMZN
2023-09-19 17:00:00,137.4450,137.5000,137.4190,137.5000,1913,AMZN
2023-09-19 16:55:00,137.4900,137.5500,137.4450,137.4900,5024,AMZN
2023-09-19 16:50:00,137.5100,137.6300,137.4800,137.5300,467076,AMZN
2023-09-19 16:45:00,137.4800,137.5200,137.4300,137.4900,2155,AMZN
2023-09-19 16:40:00,137.5000,137.5000,137.4000,137.4800,1999,AMZN
2023-09-19 16:35:00,137.5300,137.5400,137.4700,137.5000,3300,AMZN
2023-09-19 16:30:00,137.5000,137.5400,137.3500,137.5300,7571,AMZN
2023-09-19 16:25:00,137.4700,137.6800,137.4300,137.5000,42401,AMZN
2023-09-19 16:20:00,137.4600,137.5400,99.4900,137.4600,7352,AMZN
2023-09-19 16:15:00,137.5600,137.6300,137.4400,137.5400,14371,AMZN
2023-09-19 16:10:00,137.6300,137.6300,137.5000,137.5600,42105,AMZN
2023-09-19 16:05:00,137.6300,137.6300,137.5300,137.5300,102889,AMZN
2023-09-19 16:00:00,137.5950,137.6910,137.5100,137.6300,18260147,AMZN
2023-09-19 15:55:00,137.7900,137.8050,137.5400,137.5950,2188767,AMZN
2023-09-19 15:50:00,137.6700,137.8800,137.6300,137.7800,1123218,AMZN
2023-09-19 15:45:00,137.6600,137.7700,137.6200,137.6700,738516,AMZN
2023-09-19 15:40:00,137.4800,137.6900,137.4700,137.6600,640140,AMZN
2023-09-19 15:35:00,137.5250,137.6100,137.4500,137.4800,453574,AMZN
2023-09-19 15:30:00,137.4750,137.5400,137.4400,137.5250,517905,AMZN
2023-09-19 15:25:00,137.3800,137.5200,137.3700,137.4710,371692,AMZN
2023-09-19 15:20:00,137.2290,137.4100,137.1800,137.3750,341782,AMZN
2023-09-19 15:15:00,137.2500,137.2600,137.1300,137.2250,344879,AMZN
2023-09-19 15:10:00,137.1500,137.2700,137.1000,137.2600,418752,AMZN
2023-09-19 15:05:00,137.0850,137.1700,137.0200,137.1400,460000,AMZN
2023-09-19 15:00:00,136.9750,137.1600,136.9100,137.0850,347350,AMZN
2023-09-19 14:55:00,137.2050,137.2200,136.9700,136.9750,354376,AMZN
2023-09-19 14:50:00,137.2400,137.2700,137.0950,137.1950,355424,AMZN
2023-09-19 14:45:00,137.4300,137.4600,137.1300,137.2450,434346,AMZN
2023-09-19 14:40:00,137.4870,137.5850,137.4300,137.4350,313079,AMZN
2023-09-19 14:35:00,137.3200,137.5800,137.3200,137.5000,558557,AMZN
2023-09-19 14:30:00,137.2100,137.3160,137.1900,137.3150,302841,AMZN
2023-09-19 14:25:00,137.2250,137.3100,137.1900,137.2050,215213,AMZN
2023-09-19 14:20:00,137.2700,137.3200,137.2100,137.2110,226955,AMZN
2023-09-19 14:15:00,137.1450,137.2800,137.0200,137.2750,426198,AMZN
2023-09-19 14:10:00,137.1000,137.2380,137.0500,137.1400,369863,AMZN
2023-09-19 14:05:00,137.2150,137.4000,137.0700,137.0950,659219,AMZN
2023-09-19 14:00:00,137.1900,137.3850,137.1500,137.2150,480541,AMZN
2023-09-19 13:55:00,137.1800,137.2150,137.1110,137.1850,309443,AMZN
2023-09-19 13:50:00,137.1680,137.2700,136.9500,137.1800,446374,AMZN
2023-09-19 13:45:00,137.0050,137.2500,136.9700,137.1610,458408,AMZN
2023-09-19 13:40:00,136.9800,137.0400,136.8660,137.0000,475027,AMZN
2023-09-19 13:35:00,136.7970,137.0000,136.7500,136.9720,342419,AMZN
2023-09-19 13:30:00,136.5500,136.8400,136.5410,136.7960,371860,AMZN
2023-09-19 13:25:00,136.7250,136.7800,136.4050,136.5410,493487,AMZN
2023-09-19 13:20:00,136.8350,136.8600,136.6800,136.7220,447403,AMZN
2023-09-19 13:15:00,136.6150,136.8400,136.6100,136.8300,386657,AMZN
2023-09-19 13:10:00,136.8300,136.8500,136.6100,136.6180,537373,AMZN
2023-09-19 13:05:00,136.8450,137.0100,136.8000,136.8400,681346,AMZN
2023-09-19 13:00:00,136.5530,136.8500,136.4500,136.8460,457403,AMZN
2023-09-19 12:55:00,136.4950,136.5950,136.4500,136.5600,356357,AMZN
2023-09-19 12:50:00,136.3200,136.5000,136.2400,136.4910,305676,AMZN
2023-09-19 12:45:00,136.4100,136.4300,136.1000,136.3110,1266218,AMZN
2023-09-19 12:40:00,136.3200,136.4500,136.2600,136.4050,295023,AMZN
2023-09-19 12:35:00,136.2200,136.4300,136.1700,136.3150,416255,AMZN
2023-09-19 12:30:00,136.1450,136.2900,136.1200,136.2150,312903,AMZN
2023-09-19 12:25:00,136.1240,136.2300,136.0600,136.1450,316129,AMZN
2023-09-19 12:20:00,136.2750,136.3000,136.1150,136.1200,316888,AMZN
2023-09-19 12:15:00,136.2900,136.3900,136.2200,136.2800,597856,AMZN
2023-09-19 12:10:00,136.1000,136.3400,135.9500,136.2800,762625,AMZN
2023-09-19 12:05:00,136.0900,136.1400,135.9900,136.1000,668850,AMZN
