,1. open,2. high,3. low,4. close,5. volume,Symbol
2023-09-19 19:55:00,138.0400,138.0600,137.9800,138.0590,973,GOOGL
2023-09-19 19:50:00,138.0400,138.0400,137.8700,138.0300,604,GOOGL
2023-09-19 19:45:00,137.9800,138.0400,137.9400,138.0400,16,GOOGL
2023-09-19 19:40:00,137.9000,138.0400,137.9000,137.9800,1118,GOOGL
2023-09-19 19:35:00,138.0400,138.0400,137.9000,137.9000,47,GOOGL
2023-09-19 19:30:00,138.0400,138.0400,137.8500,137.9450,82,GOOGL
2023-09-19 19:25:00,137.9450,137.9500,137.8500,137.9450,138,GOOGL
2023-09-19 19:20:00,137.9100,138.0300,137.9100,138.0000,232,GOOGL
2023-09-19 19:15:00,138.0400,138.0600,137.9400,137.9400,1915,GOOGL
2023-09-19 19:10:00,138.0400,138.0400,137.9500,137.9950,756,GOOGL
2023-09-19 19:05:00,138.0400,138.0400,137.9700,138.0400,511,GOOGL
2023-09-19 19:00:00,137.9500,138.0900,137.9500,138.0900,689,GOOGL
2023-09-19 18:55:00,138.0300,138.0300,137.9700,137.9700,181,GOOGL
2023-09-19 18:50:00,138.0300,138.0400,137.9900,137.9900,786,GOOGL
2023-09-19 18:45:00,138.0500,138.0500,138.0300,138.0400,156,GOOGL
2023-09-19 18:40:00,138.0400,138.0900,138.0400,138.0400,276,GOOGL
2023-09-19 18:35:00,138.0700,138.0900,138.0300,138.0400,3176,GOOGL
2023-09-19 18:30:00,138.0300,138.1200,137.9100,138.1000,3249,GOOGL
2023-09-19 18:25:00,137.9900,138.0400,137.9100,138.0300,489,GOOGL
2023-09-19 18:20:00,138.0500,138.0500,137.9200,137.9800,269,GOOGL
2023-09-19 18:15:00,137.9000,138.0140,137.9000,137.9900,35,GOOGL
2023-09-19 18:10:00,137.9450,138.0220,137.8500,137.9700,52,GOOGL
2023-09-19 18:05:00,138.0000,138.0400,137.8550,137.9250,138,GOOGL
2023-09-19 18:00:00,137.9100,138.0500,137.8760,137.8760,45,GOOGL
2023-09-19 17:55:00,138.0000,138.1000,137.8600,138.0400,4312,GOOGL
2023-09-19 17:50:00,137.8600,138.0100,137.8500,138.0100,1711,GOOGL
2023-09-19 17:45:00,137.9700,137.9700,137.8400,137.9100,442,GOOGL
2023-09-19 17:40:00,137.9300,137.9700,137.7900,137.9700,36,GOOGL
2023-09-19 17:35:00,137.8800,138.0400,137.8800,138.0400,1675794,GOOGL
2023-09-19 17:30:00,137.9400,137.9660,137.8800,137.9000,527,GOOGL
2023-09-19 17:25:00,137.9050,137.9700,137.8500,137.8750,34,GOOGL
2023-09-19 17:20:00,137.9000,151.0930,124.2560,137.9300,2709,GOOGL
2023-09-19 17:15:00,124.2560,142.3310,124.2560,137.9000,2096,GOOGL
2023-09-19 17:10:00,137.9400,138.0400,137.9000,137.9600,5665,GOOGL
2023-09-19 17:05:00,137.9850,138.0100,137.9100,137.9400,1027,GOOGL
2023-09-19 17:00:00,137.9700,138.0100,137.9600,137.9960,374,GOOGL
2023-09-19 16:55:00,137.9400,138.0100,137.9400,138.0000,1077,GOOGL
2023-09-19 16:50:00,137.9800,138.0100,137.9400,137.9750,173,GOOGL
