,1. open,2. high,3. low,4. close,5. volume,Symbol
2023-09-19 19:55:00,266.3300,266.4000,266.2200,266.3000,24556,TSLA
2023-09-19 19:50:00,266.2600,266.6000,266.2600,266.3400,16037,TSLA
2023-09-19 19:45:00,266.1900,266.2700,266.1100,266.2700,12378,TSLA
2023-09-19 19:40:00,266.1800,266.2000,266.0500,266.2000,5237,TSLA
2023-09-19 19:35:00,266.1300,266.2000,266.1100,266.1400,5125,TSLA
2023-09-19 19:30:00,266.1500,266.1500,266.0500,266.1200,3178,TSLA
2023-09-19 19:25:00,266.1300,266.2300,266.0700,266.1400,3583,TSLA
2023-09-19 19:20:00,266.1800,266.2400,266.1200,266.1600,5618,TSLA
2023-09-19 19:15:00,266.1800,266.2350,266.0300,266.2000,3039,TSLA
2023-09-19 19:10:00,266.1200,266.2000,266.0200,266.1500,6283,TSLA
2023-09-19 19:05:00,266.2950,266.3500,266.0000,266.1200,9379,TSLA
2023-09-19 19:00:00,266.3500,266.3600,266.2800,266.3000,5466,TSLA
2023-09-19 18:55:00,266.3450,266.3800,266.3000,266.3400,5421,TSLA
2023-09-19 18:50:00,266.2650,266.3800,266.2100,266.3300,5680,TSLA
2023-09-19 18:45:00,266.2300,266.2900,266.2000,266.2500,1106,TSLA
2023-09-19 18:40:00,266.2000,266.2800,266.1400,266.2400,4850,TSLA
2023-09-19 18:35:00,266.2800,266.3000,266.1400,266.2000,13218,TSLA
2023-09-19 18:30:00,266.3300,266.3300,266.2000,266.2500,6885,TSLA
2023-09-19 18:25:00,266.3600,266.4000,266.2700,266.2800,3731,TSLA
2023-09-19 18:20:00,266.2950,266.4400,266.2800,266.3800,10100,TSLA
2023-09-19 18:15:00,266.3000,266.3300,266.2600,266.2950,2160,TSLA
2023-09-19 18:10:00,266.3000,266.3500,266.2600,266.3000,2785,TSLA
2023-09-19 18:05:00,266.1900,266.3800,266.1700,266.3000,5722,TSLA
2023-09-19 18:00:00,266.3300,266.3500,266.1950,266.2100,8176,TSLA
2023-09-19 17:55:00,266.3800,266.3900,266.3000,266.3500,3207,TSLA
2023-09-19 17:50:00,266.4400,266.4600,266.3500,266.3900,2690,TSLA
2023-09-19 17:45:00,266.3700,266.4600,266.3500,266.4300,6159,TSLA
2023-09-19 17:40:00,266.3700,266.4100,266.3100,266.3800,4260,TSLA
2023-09-19 17:35:00,266.3100,266.3900,266.3000,266.3700,4327,TSLA
2023-09-19 17:30:00,266.3000,266.3500,266.2000,266.3250,4407,TSLA
2023-09-19 17:25:00,266.2000,266.2950,266.1000,266.2900,2124,TSLA
2023-09-19 17:20:00,266.1250,273.4310,266.0600,266.1800,10708,TSLA
2023-09-19 17:15:00,266.1400,267.0000,266.0200,266.1500,4392,TSLA
2023-09-19 17:10:00,266.2500,266.5000,266.1200,266.1400,3021,TSLA
2023-09-19 17:05:00,266.1250,266.2500,266.0200,266.1700,4365,TSLA
